nwm_reach_id,ahps,reach_name,usgs_id,usgs_lat,usgs_lon,drain_area_km2,usgs_name
14365188,kitm2,North Branch Potomac River,1595500,39.394,-79.1827,583,"North Branch Potomac River at Kitzmiller, MD"
14364980,lukm2,North Branch Potomac River,1598500,39.4792,-79.0642,1051,"North Branch Potomac River at Luke, MD"
14363456,cwcm2,Wills Creek,1601500,39.6697,-78.7878,640,"Wills Creek near Cumberland, MD"
14363552,cbem2,North Branch Potomac River,1603000,39.6219,-78.7734,2271,"North Branch Potomac River near Cumberland, MD"
8423458,fklw2,South Branch Potomac River,1605500,38.6366,-79.3397,464,"South Branch Potomac River at Franklin, WV"
8423278,petw2,South Branch Potomac River,1606500,38.9911,-79.1758,1686,"South Branch Potomac River near Petersburg, WV"
8420098,mofw2,South Fork South Branch Potomac River,1608000,39.0124,-78.9559,717,"South Fork South Branch Potomac River near Moorefield, WV"
8420360,sprw2,South Branch Potomac River,1608500,39.447,-78.654,3784,"South Branch Potomac River near Springfield, WV"
8431820,paww2,Potomac River,1610000,39.5387,-78.457,8104,"Potomac River at Paw Paw, WV"
8431736,gcpw2,Cacapon River,1611500,39.5824,-78.3097,1748,"Cacapon River near Great Cacapon, WV"
5893338,hnkm2,Potomac River,1613000,39.6984,-78.1782,10526,"Potomac River at Hancock, MD"
5891232,favm2,Conococheague Creek,1614500,39.7165,-77.8249,1279,"Conococheague Creek at Fairview, MD"
5894726,sacm2,Antietam Creek,1619500,39.4497,-77.7306,728,"Antietam Creek near Sharpsburg, MD"
8441253,stgv2,North Fork Shenandoah River,1634000,38.9768,-78.3362,1994,"N F Shenandoah River near Strasburg, VA"
5908723,lywv2,South Fork Shenandoah River,1628500,38.3224,-78.7548,2795,"S F Shenandoah River near Lynnwood, VA"
5907167,sfsv2,South Fork Shenandoah River,1629500,38.6465,-78.533,3554,"S F Shenandoah River near Luray, VA"
5907079,frov2,South Fork Shenandoah River,1631000,38.9141,-78.2106,4232,"S F Shenandoah River at Front Royal, VA"
8445070,milw2,Shenandoah River,1636500,39.2823,-77.7893,7876,"Shenadoah River at Millville, WV"
4507348,porm2,Potomac River,1638500,39.2735,-77.5432,24996,"Potomac River at Point of Rocks, MD"
4507266,leev2,Goose Creek,1644000,39.0203,-77.578,860,"Goose Creek near Leesburg, VA"
4512772,brkm2,Potomac River,1646500,38.9497,-77.1279,29940,"Potomac River (Little Falls Pump Station) near Washington, DC"
